"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"immune_10_percentiles"
"A1BG-AS1"	9.6558485275798	-0.235708570094607	0.0739273612637615	-3.18838067618341	0.00143072045715248	0.00357246352325606	"cold_tumor_genes"
"A1CF"	1.93327129187192	-1.36978455550458	0.165341536130616	-8.28457620245215	1.18530401686167e-16	1.89482994620977e-15	"cold_tumor_genes"
"AADAC"	1.56978508460576	-0.869849130752108	0.149110629571273	-5.83358230900858	5.42498265036334e-09	3.1482636068484e-08	"cold_tumor_genes"
"AASDHPPT"	66.1811646018355	-0.275262918127489	0.0426144570611593	-6.45937874398913	1.051336869043e-10	7.84881295634349e-10	"cold_tumor_genes"
"ABCA12"	8.22120211797187	-2.20075350252464	0.176773277394835	-12.4495825101952	1.40578579803938e-35	2.41209413180257e-33	"cold_tumor_genes"
"ABCB1"	28.8047349002544	-0.552616684852645	0.118516752990865	-4.66277273808908	3.1197721481166e-06	1.22052267774503e-05	"cold_tumor_genes"
"ABCB11"	1.28774145910793	-0.445320154985239	0.134878709985506	-3.30163414991952	0.000961233568316413	0.00248422231349754	"cold_tumor_genes"
"ABCB4"	3.4809868359854	-0.283752172799191	0.0983071459466366	-2.88638399647181	0.00389696375084925	0.00892629698853999	"cold_tumor_genes"
"ABCC1"	52.1988553026446	-0.347137113119841	0.0465916714861923	-7.45062587468485	9.28984573552329e-14	1.04466370122569e-12	"cold_tumor_genes"
"ABCC2"	2.9375033182167	-0.671949718924581	0.11569189250941	-5.808096871351	6.31869559292593e-09	3.62602960586245e-08	"cold_tumor_genes"
"ABCC4"	9.16285646418109	-0.659511943328318	0.0934170498312198	-7.05986695704781	1.66662095074832e-12	1.58429018355992e-11	"cold_tumor_genes"
"ABCC6"	2.41107242845609	-1.16201332920406	0.145453265927651	-7.98891191471802	1.36134917210121e-15	1.91765528597928e-14	"cold_tumor_genes"
"ABCC6P1"	1.30382598759071	-0.60190978138406	0.139056259791633	-4.32853423704897	1.50105000884803e-05	5.30312623235774e-05	"cold_tumor_genes"
"ABCD2"	4.37740525780791	-0.288329291123352	0.0895497070610601	-3.2197681107628	0.00128294328874226	0.00324120273806174	"cold_tumor_genes"
"ABCE1"	29.7949812249254	-0.336708451479304	0.0468300829871667	-7.19000330560113	6.47897535935785e-13	6.46641311920399e-12	"cold_tumor_genes"
"ABCG5"	1.6550557556837	-0.664832152127669	0.136708560658449	-4.86313475122217	1.15541130628216e-06	4.81285025214436e-06	"cold_tumor_genes"
"ABCG8"	1.9610953863836	-0.369246649847812	0.128416619258962	-2.87538055415707	0.00403540798040718	0.00920858365472501	"cold_tumor_genes"
"ABR"	155.729985730797	-0.536703863415125	0.0720797033150946	-7.445977698728	9.62290622153573e-14	1.07740967428722e-12	"cold_tumor_genes"
"ACAA2"	24.3502032718742	-0.368470773319083	0.054677167165614	-6.73902457680382	1.59453432521042e-11	1.32673953789618e-10	"cold_tumor_genes"
"ACAN"	8.85202210764541	-1.22235392025798	0.1423692981771	-8.58579719018799	9.02086855710094e-18	1.62644206296592e-16	"cold_tumor_genes"
"ACAT1"	30.9120361537907	-0.482213655118696	0.0478990020351517	-10.0673006666154	7.70641012549347e-24	2.96588756044693e-22	"cold_tumor_genes"
"ACBD6"	29.5975710393765	-0.386182419084616	0.0484822632306033	-7.96543711764775	1.64640741303639e-15	2.29671603214223e-14	"cold_tumor_genes"
"ACMSD"	1.31527382348448	-0.464081402991607	0.124110774801912	-3.73925151730225	0.000184568987907238	0.000546959623058439	"cold_tumor_genes"
"ACOT1"	4.87325772465867	-0.23454307004925	0.0634218642843884	-3.69814215800313	0.000217183252544227	0.000635831532757804	"cold_tumor_genes"
"ACOT12"	1.31214234417856	-0.615403587666984	0.141139353966541	-4.36025509804213	1.29910905341276e-05	4.63661906912266e-05	"cold_tumor_genes"
"ACOT2"	9.93266824957725	-0.236626036665526	0.0590542941886082	-4.00692345775545	6.15147873074901e-05	0.000197011894643214	"cold_tumor_genes"
"ACPL2"	31.643296102094	-0.235950257967383	0.0469283714147224	-5.02788080758671	4.95929958367205e-07	2.18187988093606e-06	"cold_tumor_genes"
"ACSF3"	7.80278642272318	-0.437177510439008	0.0663610355570086	-6.58786450165388	4.46197557790719e-11	3.49537664747643e-10	"cold_tumor_genes"
"ACSL1"	53.1456344485481	-0.338854520038762	0.0604658730176495	-5.6040623103193	2.09385378933518e-08	1.12213559402424e-07	"cold_tumor_genes"
"ACSM2A"	1.48763298696622	-0.889110262166084	0.152082003525769	-5.84625558286674	5.02761388790595e-09	2.93922765871994e-08	"cold_tumor_genes"
"ACSM2B"	1.56232765170127	-0.987468592465123	0.155516428596117	-6.34960950029032	2.15862170063462e-10	1.53209309948524e-09	"cold_tumor_genes"
"ACSM3"	3.00125944951663	-0.24599913913584	0.0784626737481152	-3.13523778103151	0.0017171486531886	0.00422565922901317	"cold_tumor_genes"
"ACTG2"	6.97410928069257	-0.269014590527987	0.117526348880199	-2.28897258437092	0.0220809453441273	0.0430292130073425	"cold_tumor_genes"
"ACTL6A"	16.4307810055276	-0.329113616377775	0.0549894841525942	-5.98502825493861	2.16352300708756e-09	1.33574029133232e-08	"cold_tumor_genes"
"ACVR2B"	129.441907912885	-0.340280706832666	0.0572374508278188	-5.94507096160337	2.76337117962444e-09	1.67840155128222e-08	"cold_tumor_genes"
"ACVR2B-AS1"	3.28146653873165	-0.347636831395475	0.0747901685874811	-4.64816215768853	3.34905592777904e-06	1.30378259695539e-05	"cold_tumor_genes"
"ACY1"	5.82478129844541	-0.348440188256574	0.058988339961411	-5.90693327672073	3.48534830479409e-09	2.08614306964274e-08	"cold_tumor_genes"
"ADAM22"	91.9050407613456	-0.345423796307545	0.0530134879073355	-6.51577192791627	7.23167846677367e-11	5.48637655235335e-10	"cold_tumor_genes"
"ADAMTS10"	51.6400534310176	-0.561579681145857	0.0740876510610007	-7.57993637405883	3.45724464721858e-14	4.10759765067689e-13	"cold_tumor_genes"
"ADAMTS14"	5.81824282520434	-0.268316376738999	0.0833228434286456	-3.22020187619707	0.00128100353514046	0.00323749389818855	"cold_tumor_genes"
"ADAMTS16"	3.80533633201071	-0.780909133757721	0.115059019525726	-6.78703101222862	1.14464611218136e-11	9.73895183876619e-11	"cold_tumor_genes"
"ADAMTS17"	9.31728417156592	-0.477348404000213	0.102957870740102	-4.63634689187765	3.54620646974128e-06	1.37481437040054e-05	"cold_tumor_genes"
"ADAMTS19"	1.8487240981232	-0.360953604697738	0.136875250671356	-2.63709913170793	0.00836183914276758	0.0178729645956176	"cold_tumor_genes"
"ADAMTS2"	67.3661381852493	-0.429562251031681	0.0952425301197194	-4.51019361299751	6.4768484786531e-06	2.41854026433564e-05	"cold_tumor_genes"
"ADAMTS20"	1.25030406319589	-0.340250161544026	0.120817817167904	-2.81622503633856	0.00485916173338443	0.0109129733955482	"cold_tumor_genes"
"ADAMTS3"	5.21256574330328	-0.743460153113366	0.123544212160066	-6.0177659488421	1.76840629959116e-09	1.09971264598556e-08	"cold_tumor_genes"
"ADARB2"	4.89182561164712	-0.830334811299295	0.124469947795833	-6.67096617298565	2.54124797209243e-11	2.05435004889608e-10	"cold_tumor_genes"
"ADH1A"	1.44736644655157	-0.682730412922137	0.146157992197094	-4.67118084108239	2.99473134322968e-06	1.17405785142992e-05	"cold_tumor_genes"
"ADH4"	1.38993174711797	-0.727214059098682	0.14816809959076	-4.90803392300534	9.19939452226612e-07	3.88464998386914e-06	"cold_tumor_genes"
"ADH6"	1.70903286341499	-1.00451929731337	0.153342819982068	-6.55080751371884	5.72267830355655e-11	4.41641477774473e-10	"cold_tumor_genes"
"ADRA1A"	1.80182621257448	-0.260670367457079	0.104451714864331	-2.49560639378353	0.0125742040635545	0.0258179957786785	"cold_tumor_genes"
"ADRBK2"	210.468148558514	-0.341422580830939	0.0657846664990688	-5.19000245803133	2.10291304572263e-07	9.76301682332105e-07	"cold_tumor_genes"
