"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"immune_10_percentiles"
"A2M"	311.728264917576	0.363455286239195	0.0910999483561842	3.98963218747558	6.61758319957274e-05	0.000211053342749694	"hot_tumor_genes"
"A4GALT"	5.05452786614011	0.565173254026227	0.071111765969147	7.94767569506623	1.90043371126233e-15	2.62264947150746e-14	"hot_tumor_genes"
"ABAT"	47.036402569555	0.473439484755347	0.0769951811715183	6.14894955179974	7.79977802977625e-10	5.11456782270997e-09	"hot_tumor_genes"
"ABCA1"	24.1206559352088	0.502470816900725	0.0697764243586407	7.20115456644924	5.97048188267101e-13	6.00254990059552e-12	"hot_tumor_genes"
"ABCA10"	4.17593735783838	0.552895225016283	0.0892212984940305	6.19689731430299	5.75870436961639e-10	3.84598517581581e-09	"hot_tumor_genes"
"ABCA6"	5.18768637384508	0.682363809237778	0.099165237588337	6.88107875131065	5.94009997598283e-12	5.27183872868477e-11	"hot_tumor_genes"
"ABCA8"	10.8876520739001	1.83361517778185	0.143660219826337	12.7635554226383	2.61965529711392e-37	6.49863886356333e-35	"hot_tumor_genes"
"ABCA9"	8.58642711228186	0.986172308465607	0.108942360862992	9.05223919009648	1.40066083830412e-19	3.09770211178108e-18	"hot_tumor_genes"
"ABHD15"	6.43191249657619	0.522835761950807	0.0649160656635262	8.05402725206386	8.01133693264132e-16	1.16492533505003e-14	"hot_tumor_genes"
"ABI3"	7.12588752309677	0.450382144792176	0.0628846836274184	7.16203245070958	7.9489598160617e-13	7.84607299198036e-12	"hot_tumor_genes"
"ABI3BP"	10.6423190545214	0.983468721657642	0.101322203987271	9.706349476776	2.83302220815621e-22	8.75854763752797e-21	"hot_tumor_genes"
"ABLIM3"	71.5264165154914	0.50369607823132	0.082676976124363	6.09233793787594	1.11273471780845e-09	7.13522511357084e-09	"hot_tumor_genes"
"ACAP1"	11.8363584378101	1.37680597462123	0.111067288368208	12.3961428684283	2.74208194306867e-35	4.51675737662271e-33	"hot_tumor_genes"
"ACBD4"	11.3383955395237	0.36501016411712	0.0481169561163784	7.58589473603204	3.30200423287461e-14	3.93223060467832e-13	"hot_tumor_genes"
"ACHE"	59.4577618187471	0.441449044620937	0.101803116097753	4.33630188880515	1.44899903270052e-05	5.13244281494989e-05	"hot_tumor_genes"
"ACP5"	14.3850989211371	0.370134940002875	0.103228885537325	3.5855752784335	0.000336335963815848	0.000950996634848712	"hot_tumor_genes"
"ACSBG1"	2.58669675051415	0.720753335754438	0.0951106975444939	7.57804699536832	3.50795341882664e-14	4.15824760470009e-13	"hot_tumor_genes"
"ACSL5"	6.16257961014644	0.603430518405168	0.0738465852095096	8.17140720445204	3.04812912578546e-16	4.65932435015974e-15	"hot_tumor_genes"
"ACSL6"	17.2636454001265	0.572693238517273	0.0653647929680532	8.76149395588502	1.92679500714613e-18	3.75333104987122e-17	"hot_tumor_genes"
