Tumor ID	IA score	Cluster type
gsm1205335	0.605673632	Neuronal
gsm1205489	0.609558745	Neuronal
gsm1205320	0.609710881	Immunogenic
gsm1205682	0.609863016	Metabolic
gsm1205587	0.613488059	Immunogenic
gsm1205557	0.613558988	Hi-MYCN
gsm1205609	0.618165717	Immunogenic
gsm1205611	0.619417238	Hi-MYCN
gsm1205578	0.62003863	Immunogenic
gsm1205527	0.622164418	Hi-MYCN
gsm1205478	0.622198854	Immunogenic
gsm1205569	0.6257247	Hi-MYCN
gsm1205678	0.626577379	Immunogenic
gsm1205629	0.628796196	Immunogenic
gsm1205479	0.629339978	Hi-MYCN
gsm1205480	0.629352313	Neuronal
gsm1205393	0.629598506	Neuronal
gsm1205542	0.629926934	Neuronal
gsm1205468	0.630391564	Neuronal
gsm1205574	0.631881569	Immunogenic
gsm1205326	0.632393998	Neuronal
gsm1205252	0.633801253	Immunogenic
gsm1205684	0.633831064	Immunogenic
gsm1205377	0.63400273	Immunogenic
gsm1205270	0.634014552	Neuronal
gsm1205692	0.634550624	Immunogenic
gsm1205424	0.635093892	Neuronal
gsm1205607	0.635798034	Neuronal
gsm1205515	0.63611721	Neuronal
gsm1205366	0.636214865	Neuronal
gsm1205290	0.636399895	Neuronal
gsm1205566	0.636776122	Neuronal
gsm1205451	0.637399056	Neuronal
gsm1205662	0.638710712	Immunogenic
gsm1205319	0.639575213	Immunogenic
gsm1205705	0.639708845	Neuronal
gsm1205306	0.639968915	Hi-MYCN
gsm1205541	0.64010152	Neuronal
gsm1205313	0.64017656	Neuronal
gsm1205439	0.640269075	Neuronal
gsm1205597	0.64031636	Immunogenic
gsm1205420	0.642422102	Neuronal
gsm1205546	0.642604562	Neuronal
gsm1205619	0.644047281	Neuronal
gsm1205465	0.644209182	Neuronal
gsm1205548	0.644335619	Neuronal
gsm1205677	0.644712361	Hi-MYCN
gsm1205647	0.644816183	Immunogenic
gsm1205345	0.644943648	Neuronal
gsm1205579	0.645093214	Neuronal
gsm1205627	0.646103683	Hi-MYCN
gsm1205720	0.646269695	Hi-MYCN
gsm1205301	0.646658772	Neuronal
gsm1205520	0.646989256	Metabolic
gsm1205348	0.647206152	Neuronal
gsm1205663	0.647232879	Immunogenic
gsm1205672	0.64789179	Neuronal
gsm1205730	0.648015144	Neuronal
gsm1205717	0.649045143	Immunogenic
gsm1205243	0.649190597	Neuronal
gsm1205400	0.649236341	Neuronal
gsm1205316	0.650673406	Neuronal
gsm1205636	0.650791105	Immunogenic
gsm1205543	0.651134439	Neuronal
gsm1205581	0.651328206	Neuronal
gsm1205411	0.651564633	Neuronal
gsm1205360	0.653139957	Neuronal
gsm1205449	0.653736678	Neuronal
gsm1205612	0.653753639	Immunogenic
gsm1205388	0.654449557	Immunogenic
gsm1205395	0.654724532	Neuronal
gsm1205415	0.655537635	Neuronal
gsm1205523	0.655819292	Neuronal
gsm1205683	0.656047495	Immunogenic
gsm1205386	0.656263363	Hi-MYCN
gsm1205733	0.656553243	Neuronal
gsm1205584	0.656903258	Neuronal
gsm1205249	0.657207016	Neuronal
gsm1205621	0.65733962	Immunogenic
gsm1205571	0.657581701	Immunogenic
gsm1205384	0.657760049	Neuronal
gsm1205455	0.657931202	Neuronal
gsm1205304	0.657971806	Neuronal
gsm1205462	0.659731645	Neuronal
gsm1205265	0.659984005	Neuronal
gsm1205685	0.6600868	Immunogenic
gsm1205456	0.660642403	Neuronal
gsm1205312	0.66110652	Neuronal
gsm1205362	0.661653386	Neuronal
gsm1205289	0.66197616	Immunogenic
gsm1205617	0.663236419	Neuronal
gsm1205271	0.663313001	Neuronal
gsm1205371	0.66470792	Neuronal
gsm1205446	0.664723339	Neuronal
gsm1205691	0.664846692	Immunogenic
gsm1205638	0.664961308	Immunogenic
gsm1205699	0.665242451	Neuronal
gsm1205516	0.665251702	Neuronal
gsm1205443	0.665284596	Neuronal
gsm1205253	0.665309781	Neuronal
gsm1205673	0.665310809	Immunogenic
gsm1205671	0.665329826	Neuronal
gsm1205385	0.665527705	Neuronal
gsm1205356	0.665647975	Immunogenic
gsm1205414	0.665717875	Neuronal
gsm1205467	0.666244696	Neuronal
gsm1205341	0.666307914	Neuronal
gsm1205637	0.666458508	Immunogenic
gsm1205239	0.666941642	Immunogenic
gsm1205351	0.667036726	Neuronal
gsm1205591	0.667049576	Hi-MYCN
gsm1205429	0.6678046	Immunogenic
gsm1205514	0.667884266	Neuronal
gsm1205315	0.668226571	Neuronal
gsm1205658	0.668510798	Neuronal
gsm1205357	0.668513367	Neuronal
gsm1205408	0.668964635	Neuronal
gsm1205676	0.669065887	Immunogenic
gsm1205525	0.669542339	Neuronal
gsm1205614	0.669559814	Immunogenic
gsm1205333	0.66995403	Neuronal
gsm1205288	0.670318436	Neuronal
gsm1205325	0.670386281	Neuronal
gsm1205402	0.670794888	Neuronal
gsm1205604	0.67101127	Neuronal
gsm1205601	0.671158266	Neuronal
gsm1205336	0.671235876	Neuronal
gsm1205284	0.671419878	Neuronal
gsm1205308	0.671542717	Neuronal
gsm1205281	0.671560706	Neuronal
gsm1205250	0.671764239	Neuronal
gsm1205625	0.671767323	Immunogenic
gsm1205303	0.671893246	Neuronal
gsm1205561	0.672004264	Neuronal
gsm1205407	0.673046599	Neuronal
gsm1205410	0.673050197	Neuronal
gsm1205709	0.673091314	Neuronal
gsm1205300	0.673589867	Neuronal
gsm1205274	0.673768729	Neuronal
gsm1205710	0.674320221	Neuronal
gsm1205476	0.674360825	Neuronal
gsm1205342	0.674387551	Immunogenic
gsm1205324	0.674408624	Neuronal
gsm1205487	0.674438434	Hi-MYCN
gsm1205256	0.674449228	Neuronal
gsm1205363	0.674482122	Neuronal
gsm1205422	0.675477685	Neuronal
gsm1205655	0.675499272	Immunogenic
gsm1205397	0.675579452	Neuronal
gsm1205365	0.67613043	Neuronal
gsm1205477	0.676438299	Metabolic
gsm1205380	0.676815554	Neuronal
gsm1205441	0.677109546	Neuronal
gsm1205255	0.677405594	Neuronal
gsm1205716	0.677425125	Neuronal
gsm1205389	0.678000259	Neuronal
gsm1205403	0.678158048	Neuronal
gsm1205521	0.678191971	Metabolic
gsm1205445	0.678550209	Neuronal
gsm1205529	0.678644266	Metabolic
gsm1205522	0.678721361	Neuronal
gsm1205588	0.6787522	Immunogenic
gsm1205392	0.67878201	Neuronal
gsm1205454	0.678835463	Neuronal
gsm1205276	0.679139221	Neuronal
gsm1205452	0.679233791	Neuronal
gsm1205398	0.679670153	Neuronal
gsm1205327	0.679718467	Neuronal
gsm1205656	0.679899385	Neuronal
gsm1205418	0.679926111	Neuronal
gsm1205419	0.680062828	Neuronal
gsm1205464	0.68046167	Neuronal
gsm1205278	0.68060147	Neuronal
gsm1205444	0.680808087	Neuronal
gsm1205268	0.681005966	Immunogenic
gsm1205577	0.681383735	Neuronal
gsm1205355	0.68174403	Neuronal
gsm1205679	0.681979943	Immunogenic
gsm1205518	0.68213619	Neuronal
gsm1205266	0.682145956	Neuronal
gsm1205267	0.682721604	Neuronal
gsm1205309	0.683044892	Neuronal
gsm1205512	0.683136893	Neuronal
gsm1205586	0.683388739	Neuronal
gsm1205725	0.684022981	Neuronal
gsm1205460	0.684276883	Neuronal
gsm1205427	0.684284592	Immunogenic
gsm1205409	0.684492751	Neuronal
gsm1205470	0.684625356	Neuronal
gsm1205369	0.684665445	Neuronal
gsm1205511	0.684921403	Neuronal
gsm1205293	0.685339776	Neuronal
gsm1205602	0.685594707	Neuronal
gsm1205513	0.685623489	Neuronal
gsm1205624	0.685968878	Neuronal
gsm1205544	0.686089661	Neuronal
gsm1205437	0.686318379	Neuronal
gsm1205524	0.686519856	Neuronal
gsm1205346	0.68659027	Neuronal
gsm1205354	0.686822585	Neuronal
gsm1205260	0.686985	Immunogenic
gsm1205413	0.687056442	Immunogenic
gsm1205592	0.687056442	Neuronal
gsm1205632	0.687095504	Immunogenic
gsm1205347	0.687126342	Neuronal
gsm1205383	0.687154611	Neuronal
gsm1205560	0.687197271	Immunogenic
gsm1205649	0.687231193	Immunogenic
gsm1205585	0.687249696	Neuronal
gsm1205713	0.687341697	Neuronal
gsm1205689	0.687440379	Neuronal
gsm1205367	0.687560135	Neuronal
gsm1205447	0.687695823	Neuronal
gsm1205700	0.687710214	Neuronal
gsm1205361	0.687848473	Neuronal
gsm1205635	0.687888563	Neuronal
gsm1205531	0.688025793	Neuronal
gsm1205391	0.688157884	Neuronal
gsm1205359	0.688511497	Immunogenic
gsm1205616	0.688969959	Immunogenic
gsm1205537	0.689273717	Neuronal
gsm1205378	0.689317918	Neuronal
gsm1205387	0.689476222	Neuronal
gsm1205704	0.690071401	Immunogenic
gsm1205337	0.690573037	Neuronal
gsm1205600	0.691088551	Neuronal
gsm1205589	0.691388197	Immunogenic
gsm1205310	0.691575282	Neuronal
gsm1205688	0.692011131	Neuronal
gsm1205254	0.692816524	Neuronal
gsm1205572	0.693235925	Immunogenic
gsm1205311	0.693276015	Hi-MYCN
gsm1205533	0.693394743	Metabolic
gsm1205708	0.693554588	Neuronal
gsm1205474	0.693602387	Immunogenic
gsm1205297	0.693833675	Neuronal
gsm1205259	0.694494128	Immunogenic
gsm1205701	0.694910446	Hi-MYCN
gsm1205547	0.695033285	Metabolic
gsm1205417	0.695145331	Neuronal
gsm1205296	0.695506139	Neuronal
gsm1205334	0.695624866	Immunogenic
gsm1205554	0.695907551	Immunogenic
gsm1205646	0.696906198	Immunogenic
gsm1205711	0.697018758	Neuronal
gsm1205344	0.697135943	Neuronal
gsm1205528	0.697293219	Metabolic
gsm1205715	0.697486472	Immunogenic
gsm1205603	0.697743972	Neuronal
gsm1205687	0.697811816	Immunogenic
gsm1205630	0.697991707	Immunogenic
gsm1205262	0.698058009	Immunogenic
gsm1205390	0.698258458	Immunogenic
gsm1205453	0.699107539	Neuronal
gsm1205471	0.699180523	Neuronal
gsm1205532	0.699233462	Metabolic
gsm1205570	0.699455498	Immunogenic
gsm1205605	0.699846117	Neuronal
gsm1205484	0.699902654	Immunogenic
gsm1205423	0.700029605	Neuronal
gsm1205364	0.700257294	Neuronal
gsm1205703	0.700378592	Immunogenic
gsm1205653	0.70052456	Immunogenic
gsm1205314	0.700686975	Neuronal
gsm1205545	0.701008721	Neuronal
gsm1205582	0.701125393	Immunogenic
gsm1205372	0.701715432	Neuronal
gsm1205352	0.702282343	Neuronal
gsm1205416	0.702400557	Neuronal
gsm1205425	0.702989054	Immunogenic
gsm1205666	0.703024519	Neuronal
gsm1205734	0.703248096	Neuronal
gsm1205440	0.704006205	Neuronal
gsm1205405	0.704317672	Immunogenic
gsm1205295	0.704398365	Neuronal
gsm1205448	0.704745296	Neuronal
gsm1205450	0.705758335	Neuronal
gsm1205428	0.705772212	Neuronal
gsm1205442	0.705783519	Neuronal
gsm1205343	0.706295949	Neuronal
gsm1205376	0.70694047	Neuronal
gsm1205379	0.707573683	Neuronal
gsm1205292	0.707586532	Neuronal
gsm1205490	0.707643069	Immunogenic
gsm1205731	0.708404775	Neuronal
gsm1205633	0.708538408	Neuronal
gsm1205436	0.708745025	Neuronal
gsm1205282	0.708773293	Neuronal
gsm1205707	0.708829316	Neuronal
gsm1205421	0.709399825	Neuronal
gsm1205321	0.709490798	Neuronal
gsm1205261	0.709531916	Immunogenic
gsm1205340	0.709661436	Immunogenic
gsm1205608	0.711187419	Neuronal
gsm1205463	0.711327733	Neuronal
gsm1205275	0.711348806	Neuronal
gsm1205459	0.712756061	Immunogenic
gsm1205305	0.713799938	Immunogenic
gsm1205399	0.714433665	Immunogenic
gsm1205552	0.714600192	Neuronal
gsm1205488	0.714935815	Immunogenic
gsm1205690	0.715583934	Neuronal
gsm1205298	0.71648801	Neuronal
gsm1205475	0.717882416	Immunogenic
gsm1205394	0.718329571	Immunogenic
gsm1205339	0.718543383	Neuronal
gsm1205519	0.718816302	Neuronal
gsm1205291	0.71914987	Immunogenic
gsm1205438	0.719230564	Neuronal
gsm1205639	0.720438397	Neuronal
gsm1205280	0.720776591	Neuronal
gsm1205634	0.721114784	Neuronal
gsm1205332	0.721680667	Immunogenic
gsm1205539	0.722798042	Neuronal
gsm1205594	0.724130257	Neuronal
gsm1205238	0.724348695	Immunogenic
gsm1205457	0.724808186	Immunogenic
gsm1205670	0.724859583	Immunogenic
gsm1205657	0.724900701	Neuronal
gsm1205486	0.725502562	Immunogenic
gsm1205555	0.726316693	Neuronal
gsm1205331	0.727005415	Immunogenic
gsm1205536	0.727209976	Neuronal
gsm1205526	0.727668953	Neuronal
gsm1205323	0.727817491	Neuronal
gsm1205590	0.728306792	Immunogenic
gsm1205294	0.729939166	Neuronal
gsm1205458	0.730082564	Immunogenic
gsm1205580	0.730111861	Neuronal
gsm1205714	0.730243438	Neuronal
gsm1205583	0.730271706	Neuronal
gsm1205622	0.731328946	Immunogenic
gsm1205401	0.731684101	Neuronal
gsm1205595	0.731752459	Neuronal
gsm1205257	0.731868102	Immunogenic
gsm1205469	0.732175972	Neuronal
gsm1205286	0.732211436	Immunogenic
gsm1205735	0.732804559	Immunogenic
gsm1205534	0.733064629	Metabolic
gsm1205279	0.73329386	Immunogenic
gsm1205483	0.733513326	Immunogenic
gsm1205481	0.733582198	Immunogenic
gsm1205613	0.734029354	Immunogenic
gsm1205648	0.735393949	Immunogenic
gsm1205540	0.735998894	Neuronal
gsm1205535	0.73607856	Metabolic
gsm1205338	0.736289802	Immunogenic
gsm1205461	0.73654576	Hi-MYCN
gsm1205248	0.736632107	Neuronal
gsm1205485	0.738270649	Immunogenic
gsm1205358	0.738356997	Neuronal
gsm1205277	0.738377041	Immunogenic
gsm1205728	0.739262615	Immunogenic
gsm1205287	0.740060813	Immunogenic
gsm1205719	0.7405275	Neuronal
gsm1205430	0.742230288	Neuronal
gsm1205285	0.742427139	Immunogenic
gsm1205628	0.743736226	Immunogenic
gsm1205732	0.745122408	Neuronal
gsm1205264	0.745167637	Immunogenic
gsm1205466	0.745643575	Immunogenic
gsm1205530	0.746245436	Neuronal
gsm1205510	0.747214273	Immunogenic
gsm1205631	0.747243569	Immunogenic
gsm1205322	0.748236049	Immunogenic
gsm1205381	0.748916033	Immunogenic
gsm1205396	0.749420754	Immunogenic
gsm1205330	0.749693159	Immunogenic
gsm1205404	0.749743014	Immunogenic
gsm1205606	0.749821138	Immunogenic
gsm1205283	0.750011821	Immunogenic
gsm1205482	0.750057051	Immunogenic
gsm1205567	0.750286282	Neuronal
gsm1205329	0.750928233	Immunogenic
gsm1205299	0.752144804	Immunogenic
gsm1205251	0.75288955	Immunogenic
gsm1205538	0.753675412	Immunogenic
gsm1205307	0.754715177	Immunogenic
gsm1205302	0.755259474	Immunogenic
gsm1205562	0.755545756	Immunogenic
gsm1205353	0.75733335	Neuronal
gsm1205269	0.758021558	Immunogenic
gsm1205368	0.758900964	Neuronal
gsm1205328	0.764499145	Immunogenic
gsm1205623	0.7668408	Immunogenic
gsm1205244	0.767274593	Immunogenic
gsm1205370	0.768185351	Immunogenic
gsm1205263	0.768243429	Immunogenic
gsm1205695	0.768651523	Immunogenic
